ThroughputData
100%, 4.981333333333334
110%, 5.545999999999998
120%, 6.085999999999997
130%, 6.618000000000006
140%, 7.075333333333334
150%, 7.679666666666665
160%, 8.07066666666667
170%, 8.624333333333336
180%, 8.975000000000001
190%, 9.639999999999995
200%, 10.079666666666666

TimeInSystemData
100%, 46.68153379128787
110%, 46.74004846414575
120%, 46.87239180625054
130%, 46.9605575447013
140%, 46.98285067642562
150%, 47.16860489117591
160%, 47.28095505890658
170%, 47.46164852461549
180%, 47.5751125421832
190%, 47.70894714758555
200%, 47.80276506346296

WaitingTimesData
100%, 0.052086063773508426
110%, 0.05522370809912949
120%, 0.06028927615485065
130%, 0.06792694699350756
140%, 0.0899086230837646
150%, 0.08586644251262017
160%, 0.11119203410176431
170%, 0.11140331534568082
180%, 0.12171390784398996
190%, 0.1300024990890847
200%, 0.16028636623352466
